STU_ID,X1RACE,X1SEX,X1SES,X1SCIEFF,N1COURSE,X1SCIID,X1SCIUTI,X1SCIINT,S1TEFRNDS,S1TEACTIV,S1TEPOPULAR,S1TEMAKEFUN,X1CONTROL,X1LOCALE,N1SEX,X1TSRACE,X1TSCERT,N1HIDEG,N1SCIJOB,N1ALTCERT,N1SCIYRS912,N1GROUP,N1INTEREST,N1CONCEPTS,N1TERMS,S1STCHVALUES,S1STCHRESPCT,S1STCHFAIR,S1STCHCONF,S1STCHMISTKE,X3TGPAENG,X3TGPAMAT,X3TGPASCI,COURSE_TYPE,ALTCERT,SCIJOB,X1GEN,SCH_CONTROL,N1GEN,SCH_LOCALE
10052,8.0,2.0,-0.5433,-0.77,,-1.57,,-0.26,3.0,3.0,3.0,3.0,1,1,2.0,5.0,1.0,4.0,1.0,0.0,10.0,,,,,3.0,2.0,3.0,1.0,2.0,2.5,2.5,2.5,Other Science,No,Yes,Female,Public,Female,City
10053,8.0,1.0,0.9842,-0.05,11.0,-0.33,-0.94,-0.68,3.0,3.0,3.0,3.0,1,2,2.0,8.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.5,1.0,2.0,Life Science,No,No,Male,Public,Female,Suburban
10054,6.0,2.0,-0.2606,-0.05,6.0,2.15,-0.33,0.16,3.0,3.0,3.0,3.0,1,1,1.0,8.0,1.0,3.0,0.0,0.0,5.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.5,Physical Science,No,No,Female,Public,Male,City
10055,2.0,1.0,1.4132,0.25,,2.15,0.15,-1.07,3.0,3.0,3.0,3.0,1,4,2.0,8.0,1.0,3.0,0.0,0.0,7.0,,,,,2.0,3.0,3.0,3.0,2.0,3.0,3.5,3.5,Other Science,No,No,Male,Public,Female,Rural
10056,8.0,2.0,-0.7901,0.25,2.0,0.31,-0.47,-0.28,3.0,2.0,3.0,3.0,1,3,1.0,8.0,1.0,4.0,0.0,0.0,11.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.5,2.5,2.0,Life Science,No,No,Female,Public,Male,Town
10057,,2.0,,,6.0,,,,,,,,2,1,2.0,8.0,0.0,3.0,0.0,0.0,5.0,2.0,4.0,3.0,3.0,,,,,,2.0,2.0,1.0,Physical Science,No,No,Female,Non-public,Female,City
10058,2.0,2.0,0.5511,-0.91,,-0.33,-0.47,-1.44,3.0,2.0,3.0,3.0,2,2,2.0,2.0,0.0,3.0,0.0,0.0,23.0,,,,,3.0,2.0,2.0,2.0,2.0,3.0,2.5,3.0,Other Science,No,No,Female,Non-public,Female,Suburban
10059,,1.0,,,5.0,,,,,,,,1,3,2.0,8.0,1.0,3.0,0.0,0.0,9.0,1.0,4.0,4.0,4.0,,,,,,3.5,3.5,4.0,Earth Science,No,No,Male,Public,Female,Town
10060,5.0,1.0,-0.0058,1.83,,0.24,1.69,2.03,3.0,3.0,3.0,3.0,1,2,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,Other Science,Yes,Yes,Male,Public,,Suburban
10061,2.0,1.0,1.165,0.25,,0.27,0.1,0.89,3.0,3.0,3.0,3.0,1,2,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.5,3.5,3.0,Other Science,Yes,Yes,Male,Public,,Suburban
10062,6.0,1.0,-0.7022,0.25,,0.27,-0.89,0.16,3.0,3.0,3.0,3.0,1,2,2.0,8.0,1.0,4.0,0.0,1.0,5.0,,,,,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,Other Science,Yes,No,Male,Public,Female,Suburban
10063,5.0,1.0,-0.6763,0.69,,0.94,1.27,1.0,3.0,2.0,3.0,3.0,1,2,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.5,1.5,2.0,Other Science,Yes,Yes,Male,Public,,Suburban
10064,8.0,2.0,-0.1112,0.25,11.0,-0.33,0.1,0.16,2.0,2.0,3.0,3.0,1,2,2.0,8.0,1.0,4.0,0.0,0.0,13.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.5,3.0,3.5,Life Science,No,No,Female,Public,Female,Suburban
10065,8.0,2.0,-0.5381,-0.89,4.0,-0.33,-0.89,-1.05,3.0,3.0,3.0,3.0,1,2,2.0,8.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.5,1.0,1.5,Earth Science,Yes,Yes,Female,Public,Female,Suburban
10066,8.0,1.0,-0.3694,-0.59,7.0,-1.57,-0.33,-1.38,3.0,3.0,3.0,3.0,2,3,2.0,8.0,1.0,4.0,0.0,0.0,26.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.5,Physical Science,No,No,Male,Non-public,Female,Town
10067,2.0,1.0,-1.7526,0.25,,-0.33,0.1,-1.84,3.0,3.0,3.0,3.0,1,2,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.5,2.5,2.0,Other Science,Yes,Yes,Male,Public,,Suburban
10068,8.0,2.0,-0.0872,-0.05,,-1.57,-0.33,-0.63,2.0,3.0,3.0,3.0,1,4,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,Other Science,Yes,Yes,Female,Public,,Rural
10069,2.0,1.0,1.6587,0.56,,1.52,0.84,1.64,3.0,3.0,4.0,3.0,1,2,1.0,8.0,1.0,4.0,1.0,1.0,13.0,,,,,2.0,2.0,2.0,2.0,1.0,3.5,3.5,3.5,Other Science,Yes,Yes,Male,Public,Male,Suburban
10070,8.0,1.0,2.0218,1.1,,-0.33,1.27,0.15,3.0,3.0,3.0,3.0,2,4,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.5,3.0,3.0,Other Science,Yes,Yes,Male,Non-public,,Rural
10071,8.0,2.0,-0.2749,-1.33,6.0,-1.57,-0.33,-0.67,2.0,2.0,3.0,3.0,1,3,1.0,8.0,1.0,4.0,0.0,0.0,21.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,Physical Science,No,No,Female,Public,Male,Town
10072,8.0,2.0,-0.0998,-0.48,,-0.33,0.1,0.16,3.0,3.0,3.0,3.0,1,2,2.0,8.0,1.0,3.0,0.0,0.0,7.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.5,2.5,Other Science,No,No,Female,Public,Female,Suburban
10074,6.0,2.0,-0.2813,-1.33,11.0,-0.94,-1.5,-1.38,2.0,2.0,3.0,3.0,1,1,2.0,8.0,1.0,4.0,0.0,0.0,23.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,Life Science,No,No,Female,Public,Female,City
10075,8.0,2.0,-0.231,,18.0,-1.57,,,4.0,4.0,2.0,2.0,1,1,2.0,8.0,1.0,3.0,0.0,0.0,13.0,1.0,4.0,4.0,4.0,,,,,,3.5,2.5,3.5,Other Science,No,No,Female,Public,Female,City
10076,,1.0,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,0.5,1.5,0.25,Other Science,Yes,Yes,Male,Public,,Suburban
10077,8.0,2.0,-0.5803,,6.0,0.27,,,3.0,3.0,4.0,4.0,1,4,1.0,8.0,1.0,4.0,0.0,0.0,6.0,0.0,3.0,4.0,4.0,,,,,,2.5,3.0,2.0,Physical Science,No,No,Female,Public,Male,Rural
10078,3.0,1.0,2.1586,1.1,,0.91,0.71,0.16,3.0,3.0,4.0,3.0,1,1,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.5,3.5,3.5,Other Science,Yes,Yes,Male,Public,,City
10079,6.0,2.0,0.0865,0.25,,2.15,0.66,0.86,2.0,2.0,4.0,4.0,1,1,2.0,2.0,1.0,6.0,1.0,0.0,10.0,,,,,2.0,3.0,3.0,2.0,2.0,2.5,2.5,2.5,Other Science,No,Yes,Female,Public,Female,City
10080,3.0,2.0,0.2028,-2.07,,-1.57,-0.89,-2.59,3.0,3.0,4.0,4.0,1,1,,,,,,,,,,,,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.5,Other Science,Yes,Yes,Female,Public,,City
